Term	Overlap	P-value	Adjusted P-value	minuslogQval	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
JUNB_human_tf_ARCHS4_coexpression	72/299	0.00	0.00	2.98	0.00	0.00	-1.57	18.23	DENND1C;CSRNP1;BTG2;DOCK8;TNFAIP3;PIK3CD;LSP1;ARRB2;CD3E;ITGAL;ETS1;LIMD2;ZFP36;PPP6R1;PSD4;NFKBIZ;TAGAP;TBC1D10C;IER2;DUSP2;SYTL1;TMC8;ANO9;ARHGEF18;FOS;TNFRSF1B;RUNX3;DGKZ;EML3;HLA-E;APBB1IP;ITPKB;SIGIRR;ZAP70;PACS1;KCNQ1;RAPGEF1;ADAM8;LCP2;ZNF831;ZNF276;AKNA;CEBPD;KCNA3;CXCR4;CORO1A;SOCS3;DPP7;SPOCK2;ICOS;PLK3;JUN;GADD45B;DENND4B;SEMA4D;NFATC1;LILRB2;KLF4;NR4A2;ABTB1;RGCC;CD6;ATG16L2;CD5;CD7;CCDC88C;BCL3;FOSB;PDCD1;IL7R;MYO1F;ENGASE
HOXC10_human_tf_ARCHS4_coexpression	72/299	0.00	0.00	2.98	0.00	0.00	-1.53	17.79	CLIC5;SYNM;HSPB6;MAST2;SETD7;ABRA;MYPN;DUSP13;MYOM3;KBTBD12;C10ORF71;SLN;CA3;CFL2;DAG1;CAPN3;SPEG;MYOZ3;ANKRD2;SYNPO;PRKACA;MYOZ1;LMCD1;MYOZ2;SCN1B;CLUH;ACTN3;ACTN2;S100A1;TPM2;COPZ2;SHISA4;SYPL2;DUSP27;RNF123;ACTA1;OBSCN;SYNPO2L;TNNT1;MYOT;MYL2;TNNT3;ALPK3;CUEDC1;FBP2;RTN2;PFKFB1;SYNPO2;AK1;NEXN;EGFLAM;ABLIM2;CMYA5;NRAP;SMYD1;XIRP2;MAP4;FLNC;SH3BGR;DMPK;AGL;ANKRD23;DUPD1;MAPK12;FABP3;DES;NFIC;NT5C1A;CARM1;HRC;TCAP;CDK16
MYF6_human_tf_ARCHS4_coexpression	71/299	0.00	0.00	2.76	0.00	0.00	-1.59	17.49	ANKRD39;CLIC5;SYNM;HSPB6;KLHL34;ABRA;MYPN;DUSP13;MYOM3;KBTBD12;C10ORF71;XPO4;SLN;CA3;CFL2;CAPN3;SPEG;MYOZ3;ANKRD2;SYNPO;MYOZ1;LMCD1;MYOZ2;SCN1B;ACTN3;ACTN2;S100A1;CACNA2D1;TPM2;SHISA4;SYPL2;DUSP27;SPTB;RNF123;ACTA1;OBSCN;SYNPO2L;PPP1R3B;TNNT1;MYOT;MYL2;TNNT3;ALPK3;OPTN;FBP2;RTN2;PFKFB1;SYNPO2;AK1;NEXN;TTN;ABLIM2;CMYA5;NRAP;PACSIN3;SMYD1;XIRP2;DMD;FLNC;SH3BGR;DMPK;AGL;ANKRD23;SAMD4A;DUPD1;MAPK12;FABP3;DES;NT5C1A;HRC;TCAP
KLF9_human_tf_ARCHS4_coexpression	69/299	0.00	0.01	2.25	0.00	0.00	-1.61	15.72	CLIC5;SYNM;HSPB6;PTPRM;MYPN;PPP3CB;C10ORF71;MPRIP;SLN;CA3;C6ORF106;CAPN3;SPEG;PRKACA;MYOZ1;LMCD1;SCN1B;ACTN2;S100A1;TPM2;SHISA4;SYPL2;DUSP27;RHOB;ACTA1;F8;OBSCN;TNNT1;MYOT;MYL2;TNNT3;OPTN;FKBP5;SPTBN4;PFKFB1;LRP1;CEBPD;EPAS1;WBP2;ADH1B;SYNPO2;ADD1;INPP5A;TP53INP2;SPOCK2;NACC2;CMYA5;NRAP;STOM;PACSIN3;SMYD1;XIRP2;MAP4;SASH1;SLC25A25;WDTC1;SORT1;KCNJ9;ANKRD23;SAMD4A;CYBRD1;ABCA8;GRIN2C;SMOC2;DES;NFIC;NT5C1A;TCAP;YPEL2
MEOX1_human_tf_ARCHS4_coexpression	68/299	0.00	0.01	2.08	0.00	0.00	-1.66	15.19	CLIC5;ROBO4;HSPB6;INPPL1;PTPRM;ADIRF;CTCF;LRRC32;CHRDL1;LIPE;C1QTNF1;TNN;AKT2;WWC3;SYNPO;PRKACA;GYG2;RPS9;LHCGR;ZER1;DGAT2;VWF;S100A1;ADIPOQ;ADRA2A;GTPBP3;F8;MRAS;TNMD;LGALS12;GPD1;APLNR;RDH5;HRASLS5;PLIN1;SHANK3;MDFI;KANK4;CFD;PFKFB1;CEBPA;PKDCC;ADH1B;NPR1;ASAP3;CCDC106;THBS4;CLEC3B;CYB5R3;EGFLAM;OLFML3;TMEM129;SLC19A3;SLIT3;CD300LG;AOC3;TMEM132C;DMPK;LVRN;CIDEA;DEFB132;CIDEC;SMOC2;FABP4;GPAM;CILP;LEP;THRSP
DPF3_human_tf_ARCHS4_coexpression	68/299	0.00	0.01	2.08	0.00	0.00	-1.65	15.12	CLIC5;SYNM;HSPB6;KLHL34;ABRA;MYPN;DUSP13;MYOM3;KBTBD12;C10ORF71;SLN;CA3;CFL2;CAPN3;SPEG;MYOZ3;ANKRD2;SYNPO;MYOZ1;MYOZ2;ACTN3;ACTN2;S100A1;CACNA2D1;TPM2;SHISA4;SYPL2;DUSP27;SPTB;ACTA1;OBSCN;SYNPO2L;TNNT1;MYOT;MYL2;TNNT3;ALPK3;ALPK2;FBP2;POPDC2;RTN2;PFKFB1;SYNPO2;NEXN;PRSS42;TTN;ABLIM2;DNAJB5;CMYA5;NRAP;PACSIN3;SMYD1;XIRP2;DMD;MAP4;FLNC;SH3BGR;AGL;ANKRD23;SAMD4A;DUPD1;FABP3;DES;WT1;NFIC;NT5C1A;HRC;TCAP
MYOG_human_tf_ARCHS4_coexpression	68/299	0.00	0.01	2.08	0.00	0.00	-1.64	15.04	SOWAHC;SETD7;MYPN;DUSP13;MYOM3;CASP9;C10ORF71;SLN;CAPN6;CA3;CFL2;CAPN3;SPEG;ANKRD2;MYOZ1;LMCD1;MYOZ2;DGCR2;CHRNB1;ACTN2;TPM2;SLC2A12;SHISA4;FAM207A;SYPL2;NUDT16L1;NPNT;SEPT4;DUSP27;MYL4;ACTA1;MRAS;OBSCN;SYNPO2L;TNNT1;MYOT;TNNT2;AKIP1;TNNT3;MYH8;ALPK3;ITGB1BP2;KANK4;FBP2;RTN2;SYNPO2;AK1;NEXN;TTN;C1ORF105;GPC1;NRAP;PACSIN3;SMYD1;FLNC;DMPK;ANKRD23;SAMD4A;DUPD1;RCL1;SMOC2;FABP3;DES;SNAI1;HRC;TCAP;FGFR4;NES
SMAD7_human_tf_ARCHS4_coexpression	68/299	0.00	0.01	2.08	0.00	0.00	-1.57	14.35	CSRNP1;IL1RN;CDKN1A;CD83;CXCL8;WDR1;TNFAIP3;CXCL3;ICAM1;ABHD12;LACTB;GPR132;FCGRT;KIF5B;SLCO2B1;CCRL2;FLVCR2;SDF4;MAP3K8;JUNB;CTSD;ABCD1;CTSB;DUSP2;SERPINB2;PCYT1A;TFE3;PLAUR;TNFRSF1B;RUNX3;MMP9;NPC2;KCNQ1;NINJ1;MAPKAPK2;RAPGEF1;MMP19;CHMP4B;PLEKHO2;ATF3;ENG;GRN;PFKFB3;LRP1;SLC43A2;INSIG1;PTGS2;SOCS3;ZNRF2;TMEM127;HLX;TSPAN4;PLK3;JUND;GADD45B;LILRB1;LILRB2;KLF4;NR4A2;LACC1;SPSB1;EHD4;RGCC;BCL3;FOSB;NUCB1;TGFBI;LGMN
IKZF1_human_tf_ARCHS4_coexpression	67/299	0.00	0.01	1.97	0.00	0.00	-1.58	13.57	DENND1C;CIITA;TRAF3IP3;DOCK8;PIK3CD;PTPRJ;LSP1;ARRB2;CD3E;ITGAL;IKZF3;ETS1;LIMD2;GPR174;DOCK11;SEPT6;PPP6R1;PSD4;CNTRL;CASP4;TAGAP;RAC2;TBC1D10C;DENND2D;SP110;PRKCB;TMC8;ARHGEF18;TNFRSF1B;RUNX3;EML3;HLA-E;APBB1IP;FGR;ZAP70;GVINP1;PACS1;IRF1;CD48;LCP2;ZNF831;ZNF276;SLFN5;AKNA;RGS14;KCNA3;CSF2RB;CFP;SAMHD1;CORO1A;RASGRP1;KIAA0040;IFI16;SPOCK2;S1PR4;DENND4B;SEMA4D;CARD8;NFATC3;CD6;SELL;CD5;CD7;CCDC88C;PTPN7;IL7R;MYO1F
MAFA_human_tf_ARCHS4_coexpression	67/299	0.00	0.01	1.97	0.00	0.00	-1.58	13.56	ANKRD39;CLIC5;SYNM;HSPB6;PTPRN;KLHL34;ABRA;MYPN;DUSP13;MYOM3;SCGN;KBTBD12;C10ORF71;SLN;CA3;CFL2;CAPN3;SPEG;MYOZ3;ANKRD2;SYNPO;MYOZ1;LMCD1;SCN1B;WSB2;ACTN3;ACTN2;S100A1;TPM2;SHISA4;SYPL2;DUSP27;SPTB;ACTA1;OBSCN;SLC7A8;SYNPO2L;TNNT1;MYOT;MYL2;TNNT3;ALPK3;FBP2;RTN2;PFKFB1;AK1;ABLIM2;ACVR1C;KIAA1324;CMYA5;NRAP;PACSIN3;SMYD1;XIRP2;SH3BGR;RPH3AL;WSCD2;AGL;ANKRD23;DUPD1;BMP5;DES;NT5C1A;NEURL1;HRC;TCAP;CPE
MEF2A_human_tf_ARCHS4_coexpression	67/299	0.00	0.01	1.97	0.00	0.00	-1.57	13.51	CLIC5;SETD7;NR3C1;MYPN;MYOM3;PPP3CB;C10ORF71;XPO4;SLN;CA3;SLCO2B1;CAPN3;SPEG;PGM5;SYNPO;PRKACA;MYOZ1;MYOZ2;SH3GLB1;ACTN2;TPM2;VWA5A;SHISA4;DICER1;PROX1;DUSP27;MYL4;F8;MRAS;OBSCN;SYNPO2L;MYOT;MYL2;TNNT2;TNNT3;RAPGEF1;BMP2K;ALPK3;ALPK2;KCTD12;MYH6;POPDC2;MACF1;SYNPO2;NEXN;PRSS42;TTN;IGSF22;BCL2L13;CMYA5;NRAP;TBX20;SMYD1;XIRP2;DMD;MAP4;FLNC;DMPK;SORT1;SAMD4A;FABP3;IBTK;DES;WNK1;NT5C1A;HRC;TCAP
PITX2_human_tf_ARCHS4_coexpression	67/299	0.00	0.01	1.97	0.00	0.00	-1.56	13.38	HSPB6;SETD7;GXYLT2;MYPN;DUSP13;MYOM3;ADAMTS5;C10ORF71;SLN;CA3;CFL2;CAPN3;SPEG;MYOZ3;ANKRD2;SYNPO;MYOZ1;LMCD1;ACTN3;ACTN2;TPM2;SHISA4;APOA4;SYPL2;DUSP27;ACTA1;OBSCN;SYNPO2L;TNNT1;MYOT;MYL2;TNNT3;ALPK3;ITGB1BP2;KDELR3;FBP2;RTN2;PFKFB1;SYNPO2;GATA5;TTN;EGFLAM;OLFML3;CMYA5;NRAP;S100A13;PACSIN3;SMYD1;HAS2;XIRP2;STXBP6;FLNC;MEST;SH3BGR;S100A10;TCEAL9;AGL;ANKRD23;DUPD1;SMOC2;DES;TMEM98;NT5C1A;CALU;HRC;TCAP;FGFR2
NR4A2_human_tf_ARCHS4_coexpression	66/299	0.00	0.02	1.81	0.00	0.00	-1.66	13.33	DENND1C;CSRNP1;BTG2;CIITA;CD83;CCL4L2;STMN2;TNFAIP3;ITGAL;ZFP36;RASGEF1B;NFKBIZ;PDE4B;MAP3K8;JUNB;IER2;KLF10;MYLIP;DUSP2;LAG3;TMC8;GFRA1;FOS;RUNX3;RHOB;SHISA6;ITPKB;ZAP70;PELI1;SIK1;LCP2;ATF3;PFKFB3;AKNA;CXCR4;PTGS2;ZFP36L2;ZFP36L1;SOCS3;DNAJB1;SPOCK2;ICOS;HTATSF1P2;EGR1;PLK3;EGR2;JUN;JUND;EGR3;GADD45B;NFATC1;KLF4;PTPRE;NR4A1;RGCC;CD6;CD5;WT1;ID2;CCDC88C;SNAI1;TMCC3;PTPN7;PDCD1;NFKBID;YPEL2
ZFP36L1_human_tf_ARCHS4_coexpression	67/299	0.00	0.01	1.97	0.00	0.00	-1.55	13.33	DENND1C;CSRNP1;BTG2;TRAC;TNFAIP3;PIK3CD;LSP1;CD3E;ETS1;CASP12;FCGRT;ZMIZ2;PSD4;NFKBIZ;TAGAP;TBC1D10C;TMEM109;SOX9;JUNB;IER2;PDGFRB;SP110;NFAM1;TFE3;THEMIS;ANXA11;FOS;RUNX3;EML3;HLA-E;RHOB;APBB1IP;SIGIRR;PACS1;RAPGEF1;IGHD;ADAM8;LCP2;CFD;AKNA;NOTCH1;CEBPD;MVP;CSF2RB;DTX4;LY9;CORO1A;KIAA0040;SOCS3;TMEM127;CHST15;TSPAN4;HES1;S1PR4;WDTC1;EGR1;JUN;JUND;CDC42BPG;NFATC1;CD2;ABTB1;NR4A1;BCL3;ID4;IL7R;MYO1F
TCF7_human_tf_ARCHS4_coexpression	67/299	0.00	0.01	1.97	0.00	0.00	-1.53	13.12	DENND1C;TRAF3IP3;DOCK8;TNFAIP3;PIK3CD;LSP1;ARRB2;CD3E;ITGAL;IKZF3;ETS1;LIMD2;GPR174;SEPT6;PPP6R1;PSD4;TRBC1;TAGAP;RAC2;TBC1D10C;JUNB;DENND2D;SYTL1;THEMIS;TMC8;ARHGEF18;PASK;TC2N;RUNX3;DGKZ;EML3;HLA-E;CDC25B;APBB1IP;ITPKB;SIGIRR;ZAP70;GVINP1;PACS1;LCK;IRF1;CD48;LCP2;ZNF831;ZNF276;SLFN5;AKNA;NOTCH1;RGS14;KCNA3;CD1E;SAMHD1;CORO1A;RASGRP1;SPOCK2;FYN;S1PR4;DENND4B;SEMA4D;NFATC1;CD6;CD5;CD7;CCDC88C;PDCD1;IL7R;MYO1F
