Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Alpha 6 Beta 4 signaling pathway_Homo sapiens_WP244	1/33	0.05464309386364962772830722315120510756969451904296875	0.117692817552476125531057959960890002548694610595703125	0.05550023508741198929872240341865108348429203033447265625	0.11953896788057967459639741036880877800285816192626953125	-1.5078621558327119	4.3832534198116955	LAMC1
Inflammatory Response Pathway_Mus musculus_WP458	1/30	0.0497977987764681717663961535436101257801055908203125	0.11619486381175907208085362753990921191871166229248046875	0.050717159497741685914018461289742845110595226287841796875	0.118340038828063931486411775040323846042156219482421875	-1.4406121641214906	4.321526036415404	LAMC1
Zinc homeostasis_Homo sapiens_WP3529	1/37	0.06106619852326465591740856098112999461591243743896484375	0.1221323970465293118348171219622599892318248748779296875	0.061843927194471466635139478285054792650043964385986328125	0.12368785438894293327027895657010958530008792877197265625	-1.3481269389835802	3.7690889571221766	SLC30A9
Vitamin B12 Metabolism_Homo sapiens_WP1533	1/53	0.08633766038259731157022969227909925393760204315185546875	0.1510909056695453056562428173492662608623504638671875	0.08683703323971662946245686498514260165393352508544921875	0.1519648081695041119676403695848421193659305572509765625	-1.4746057915527684	3.6120312363360525	MMAB
miRNA targets in ECM and membrane receptors_Homo sapiens_WP2911	1/41	0.0674469373186743770265394459784147329628467559814453125	0.1259009496615255130347321710360120050609111785888671875	0.0681492470905747660392393072470440529286861419677734375	0.1272119279024062354910284966535982675850391387939453125	-1.2966620288594992	3.496337782803554	LAMC1
Alpha6-Beta4 Integrin Signaling Pathway_Mus musculus_WP488	1/64	0.10332751054641986510063134119263850152492523193359375	0.1679692725857945545531180187026620842516422271728515625	0.10367046838315378820549739202760974876582622528076171875	0.168348839676218553496056529183988459408283233642578125	-1.429664552644899	3.2451264027497824	LAMC1
Endoderm Differentiation_Homo sapiens_WP2853	1/71	0.113979149254646305866600641820696182548999786376953125	0.1679692725857945545531180187026620842516422271728515625	0.114236712637434012496129298597224988043308258056640625	0.168348839676218553496056529183988459408283233642578125	-1.4560012894111258	3.1620558742141114	LAMC1
Apoptosis Modulation and Signaling_Homo sapiens_WP1772	1/93	0.1466623014248396861258783019366092048585414886474609375	0.2053272219947755716784598689628182910382747650146484375	0.146719157053875559615363499688101001083850860595703125	0.205406819875425805665969392066472209990024566650390625	-1.5429743969108762	2.9619285300016793	AIFM1
SREBP signalling_Homo sapiens_WP1982	1/71	0.113979149254646305866600641820696182548999786376953125	0.1679692725857945545531180187026620842516422271728515625	0.114236712637434012496129298597224988043308258056640625	0.168348839676218553496056529183988459408283233642578125	-1.254391751158194	2.724212426295111	GPAM
NRF2 pathway_Homo sapiens_WP2884	1/146	0.2206670093953242151041393981358851306140422821044921875	0.294222679193765601635135453761904500424861907958984375	0.2206148908736404734565184071470866911113262176513671875	0.294153187831520612771640799110173247754573822021484375	-1.4786645254274653	2.2344106424349173	CBR1
Purine metabolism_Mus musculus_WP2185	1/158	0.236536683044415940724292113372939638793468475341796875	0.301046687511074828602630759633029811084270477294921875	0.23652421932842637719573986032628454267978668212890625	0.301030824599815394204682661438710056245326995849609375	-1.4657721310405507	2.1131332877141498	PKM
Focal Adhesion_Mus musculus_WP85	1/185	0.271105134009529347149936029381933622062206268310546875	0.325007779843134503305890348201501183211803436279296875	0.27125669148418563025870753335766494274139404296875	0.32524232817111542459542761207558214664459228515625	-1.5387001208786828	2.0083861554551476	LAMC1
Focal Adhesion_Homo sapiens_WP306	1/191	0.27857809700840097111296245202538557350635528564453125	0.325007779843134503305890348201501183211803436279296875	0.27877913843238466551355259070987813174724578857421875	0.32524232817111542459542761207558214664459228515625	-1.5673531747328069	2.0031664437622365	LAMC1
Focal Adhesion-PI3K-Akt-mTOR-signaling pathway_Mus musculus_WP2841	1/303	0.40516648871381122365420424102921970188617706298828125	0.4223004733168078672633782844059169292449951171875	0.406964261611384714445449617414851672947406768798828125	0.4242038386093482937866383508662693202495574951171875	-1.673822783357311	1.512227267080616	LAMC1
PluriNetWork_Mus musculus_WP1763	1/284	0.38532719838205842233236353422398678958415985107421875	0.4223004733168078672633782844059169292449951171875	0.38678041513420213792784352335729636251926422119140625	0.4242038386093482937866383508662693202495574951171875	-1.555048870318614	1.4829916995184373	GADD45GIP1
PodNet: protein-protein interactions in the podocyte_Mus musculus_WP2310	1/305	0.40721831355549331643572941175079904496669769287109375	0.4223004733168078672633782844059169292449951171875	0.4090537015161572753640939481556415557861328125	0.4242038386093482937866383508662693202495574951171875	-1.4769539643310008	1.3269040675668209	LAMC1
XPodNet - protein-protein interactions in the podocyte expanded by STRING_Mus musculus_WP2309	1/808	0.7542153935629201111368047349969856441020965576171875	0.7542153935629201111368047349969856441020965576171875	0.7667798284654427920514763172832317650318145751953125	0.7667798284654427920514763172832317650318145751953125	-1.500914488461308	0.42337388229254946	LAMC1
