Gene.Symbol,qval,LFQ_KO_1,LFQ_KO_2,LFQ_KO_3,LFQ_KO_4,LFQ_WT_1,LFQ_WT_2,LFQ_WT_3,LFQ_WT-4,Ratio_KO.WT,log2FC,Ttest,minuslog_pval
Atp5j,0.00000000,74816000,89447000,388840000,451030000,189750000,0,120220000,153700000,2.16561995,1.11478008,0.27362116,1.86974828
Ndufs6,0.00000000,352860000,385730000,600380000,505940000,457670000,8634400,339250000,448910000,1.47067545,0.55647891,0.27609697,1.85675304
Romo1,0.00155520,979780,0,2347200,3215900,2204100,0,0,0,2.96850415,1.56973613,0.27696232,1.85223841
mt-Nd2;Mtnd2,0.00000000,37196000,32098000,35924000,44155000,19963000,15948000,25719000,48530000,1.35596405,0.43931893,0.27698979,1.85209529
Ndufa11,0.00000000,207670000,179920000,70876000,60495000,121940000,224900000,181430000,202840000,0.70982616,-0.49446236,0.27875082,1.84295204
Myh4;Myh1,0.00154080,1376900,0,1342400,718540,9362000,24075000,0,0,0.10281544,-3.28187111,0.27880048,1.84269508
Cyp2a22,0.00299400,9029400,12038000,10186000,10789000,3964500,6980500,7487700,13246000,1.32715042,0.40833190,0.27895718,1.84188443
Echs1,0.00000000,742180000,578780000,721370000,632200000,674840000,649390000,589410000,506540000,1.10509549,0.14417104,0.27973318,1.83787673
Timm22,0.00165840,4343700,4552400,12825000,10919000,4791900,4865500,6452700,5049700,1.54255239,0.62531949,0.28049104,1.83397344
Hsd17b10,0.00000000,839480000,965950000,933850000,870650000,952370000,1302200000,1034700000,840640000,0.87409411,-0.19413948,0.28206328,1.82590925
Mut,0.00000000,140930000,129300000,139270000,134660000,133910000,172230000,137180000,146590000,0.92244580,-0.11646395,0.28365028,1.81781480
9030617O03Rik,0.00000000,25658000,25106000,33320000,26362000,26787000,24353000,23036000,25970000,1.10284984,0.14123637,0.28477700,1.81209546
Myh6,0.00000000,80313000,25852000,57493000,62475000,242430000,771580000,66717000,32465000,0.20313926,-2.29945900,0.28495491,1.81119443
